FECHA,PRECIP,EVAP,TMAX,TMIN
2021-03-18,6,3.1,11,4
2021-03-20,0,2.6,13,6
2021-03-22,0,3.2,13,7
2021-03-24,0,3.1,12,6
2021-03-26,0,3.1,16,5
2021-03-28,0,4,16,4
2021-03-30,0,2.6,16,6
2021-04-01,0,3.1,12,6
2021-04-03,0,3.2,13,3
2021-04-05,0,2.6,13,8
2021-04-07,6,3.2,14,4
2021-04-09,0,3.1,11,5
2021-04-11,0,3.1,17,7
2021-04-13,7,3.1,10,4
2021-04-15,0,3.1,15,5
2021-04-17,0,3.2,15,4
2021-04-19,0,2.9,15,5
2021-04-21,0,2.9,14,3
2021-04-23,0,2.9,12,5
2021-04-25,0,3.1,15,8
2021-04-27,0,3.1,13,7
2021-04-29,0,3.1,12,6
2021-05-01,0,3.1,16,5
2021-05-03,0,3.1,13,6
2021-05-05,12,6.2,12,7
2021-05-07,0,3.2,15,3
2021-05-09,21,4.2,11,5
2021-05-11,0,4.1,14,8
2021-05-13,52,4.1,11,7
2021-05-15,0,3.1,12,6
2021-05-17,14,3.2,11,5
2021-05-19,0,3.1,14,4
2021-05-21,0,3.2,14,8
2021-05-23,11,3.1,14,4
2021-05-25,7,4.2,12,8
2021-05-27,0,3.1,13,6
2021-05-29,12,6.1,13,8
2021-05-31,0,3.1,11,6
2021-06-02,19,5.1,15,5
2021-06-04,10,9.6,14,3
2021-06-06,0,2.3,16,5
2021-06-08,11,3.3,14,4
2021-06-10,6,2.6,11,7
2021-06-12,23,9.3,10,5
2021-06-14,53,3,14,4
2021-06-16,0,2.5,13,3
2021-06-18,29,4.6,13,3
2021-06-20,0,5.2,13,7
2021-06-22,6,2.5,14,4
2021-06-24,17,5.7,12,8
2021-06-26,12,3.5,12,3
2021-06-28,7,4.3,15,5
2021-06-30,31,4.1,11,6
2021-07-02,6,4.7,11,5
2021-07-04,0,4,13,7
2021-07-06,6,2.6,14,8
2021-07-08,7,3.8,14,4
2021-07-10,5,8.8,13,7
2021-07-12,0,5.4,14,8
2021-07-14,4,3.8,10,5
2021-07-16,0,4.9,13,6
2021-07-18,11,3.8,12,8
2021-07-20,7,4.8,13,6
2021-07-22,8,4.6,12,7
2021-07-24,0,5.8,15,8
2021-07-26,0,4.5,13,4
2021-07-28,23,6.8,14,8
2021-07-30,24,3.6,11,5
2021-08-01,7,3.6,14,6
2021-08-03,8,5.9,10,4
2021-08-05,0,7.2,16,6
2021-08-07,26,7,13,5
2021-08-09,7,8.5,13,7
2021-08-11,22,6.5,12,8
2021-08-13,4,4.3,16,6
2021-08-15,6,3.1,13,3
2021-08-17,29,4.4,15,4
2021-08-19,0,3.1,12,7
2021-08-21,6,2.3,13,6
2021-08-23,7,4.7,15,3
2021-08-25,4,2.3,17,5
2021-08-27,5,3.1,11,6
2021-08-29,3,3.1,12,5
2021-08-31,24,2.35,10,6
2021-09-02,23,9.6,11,6
2021-09-04,24,4.4,16,5
2021-09-06,22,5.7,11,4
2021-09-08,9,4.9,13,7
2021-09-10,0,2.3,12,6
2021-09-12,52,5.5,13,3
2021-09-14,0,3.1,13,7
2021-09-16,0,3.1,16,5
2021-09-18,31,4.7,14,4
2021-09-20,0,3.1,13,8
2021-09-22,0,2.3,16,5
2021-09-24,0,3.8,14,3
2021-09-26,29,3.1,15,3
2021-09-28,0,4.4,11,5
2021-09-30,5,3.1,14,6
2021-10-02,0,4.5,14,7
2021-10-04,32,9.1,14,3
2021-10-06,6,5.6,13,3
2021-10-08,0,5.5,16,6
2021-10-10,0,3.1,12,7
2021-10-12,0,3.1,12,5
2021-10-14,0,2.2,13,7
2021-10-16,6,5.1,14,8
2021-10-18,0,2.6,14,7
2021-10-20,7,3.1,10,4
2021-10-22,6,2.6,12,6
2021-10-24,0,3.1,12,7
2021-10-26,0,3.1,15,8
2021-10-28,7,2.6,11,5
2021-10-30,0,2.3,13,7
2021-11-01,0,3.1,13,5
2021-11-03,0,3.1,16,3
2021-11-05,0,2.6,12,5
2021-11-07,0,3.1,16,4
2021-11-09,0,3.1,12,6
2021-11-11,0,3.1,13,7
2021-11-13,0,3.1,13,3
2021-11-15,0,3.1,13,3
2021-11-17,0,3.1,14,6
2021-11-19,0,3.1,12,8
2021-11-21,0,3.1,16,6
2021-11-23,0,3.1,13,3
2021-11-25,0,2.6,11,6
2021-11-27,0,2.6,13,7
2021-11-29,0,3.1,16,4
2021-12-01,0,3.1,12,7
2021-12-03,0,3.1,16,6
2021-12-05,0,3.1,10,4
2021-12-07,0,2.6,14,7
2021-12-09,0,3.1,14,3
2021-12-11,0,3.1,15,5
2021-12-13,0,3,11,6
2021-12-15,0,2.6,16,5
2021-12-17,0,3.1,14,5
2021-12-19,0,2.5,13,8
2021-12-21,0,2.6,14,2
2021-12-23,0,3,14,3
2021-12-25,0,3.1,12,3
2021-12-27,0,3.1,12,6
2021-12-29,0,3.1,13,7
2021-12-31,0,3,14,3
2022-01-02,0,2.5,10,6
2022-01-04,0,2.6,15,5
2022-01-06,4,2.5,12,6
2022-01-08,0,3.1,16,5
2022-01-10,0,3.1,11,4
2022-01-12,0,3.1,16,6
2022-01-14,0,3.1,14,5
2022-01-16,16,2.5,10,4
2022-01-18,0,2.5,17,5
2022-01-20,0,2.5,14,3
2022-01-22,0,3.1,15,4
2022-01-24,0,3.1,15,4
2022-01-26,0,3.1,13,3
2022-01-28,0,3.1,12,5
2022-01-30,0,3.1,11,7
2022-02-01,0,2.5,15,4
2022-02-03,0,2.5,16,5
2022-02-05,0,2.5,10,6
2022-02-07,0,2.3,14,7
2022-02-09,0,3,15,5
2022-02-11,0,3.1,16,4
2022-02-13,0,2.5,14,3
2022-02-15,0,2.5,12,8
2022-02-17,0,2.5,16,5
2022-02-19,0,3.1,11,6
2022-02-21,0,2.6,15,3
2022-02-23,0,2.6,15,4
2022-02-25,0,3.1,12,7
2022-02-27,0,2.6,15,4
2022-03-01,0,2.5,14,3
2022-03-03,0,2.6,16,4
2022-03-05,0,2.5,12,6
2022-03-07,0,2.6,14,7
2022-03-09,0,2.7,14,3
2022-03-11,0,2.4,13,8
2022-03-13,0,2.6,12,7
2022-03-15,3,2.6,13,6
2022-03-17,0,2.6,17,3
2022-03-19,0,2.6,12,5
2022-03-21,0,2.6,14,8
2022-03-23,0,3.1,12,7
2022-03-25,0,3.1,14,3
2022-03-27,0,3.1,16,5
2022-03-29,0,3.1,12,5
2022-03-31,0,2.3,12,6
2022-04-02,0,2.6,14,3
2022-04-04,0,2.6,16,4
2022-04-06,0,2.5,12,6
2022-04-08,5,4.3,13,6
2022-04-10,9,4.1,12,7
2022-04-12,0,2.6,12,6
2022-04-14,0,2.6,13,8
2022-04-16,0,2.6,13,7
2022-04-18,7,2.6,16,6
2022-04-20,6,2.6,12,5
2022-04-22,26,3.1,13,3
2022-04-24,0,4.8,15,7
2022-04-26,6,2.8,14,4
2022-04-28,0,3.1,15,3
2022-04-30,0,3.1,15,5
2022-05-02,0,2.9,16,4
2022-05-04,0,3.1,15,5
2022-05-06,0,3.2,15,4
2022-05-08,11,3.5,17,3
2022-05-10,0,3.1,11,6
2022-05-12,0,2.6,14,7
2022-05-14,0,3.2,17,4
2022-05-16,0,3.6,12,5
2022-05-18,0,3.1,13,7
2022-05-20,0,3.1,15,6
2022-05-22,18,4.1,14,3
2022-05-24,0,3.8,14,4
2022-05-26,0,2.8,17,5
2022-05-28,0,2.5,16,4
2022-05-30,0,3.1,14,3
2022-06-01,0,3.1,17,4
2022-06-03,0,2.5,13,6
2022-06-05,0,2.5,13,7
2022-06-07,0,3.1,13,8
2022-06-09,23,7.7,12,7
2022-06-11,0,2.5,13,6
2022-06-13,18,7.7,11,3
2022-06-15,19,7.7,14,5
2022-06-17,19,3.1,12,8
2022-06-19,22,4.5,16,6
2022-06-21,8,6.1,11,6
2022-06-23,0,4.6,14,8
2022-06-25,0,6.5,17,5
2022-06-27,0,4.6,11,4
2022-06-29,0,2.6,15,5
2022-07-01,0,4.5,16,5
2022-07-03,0,3.1,10,4
2022-07-05,22,5.1,13,7
2022-07-07,0,4.7,16,5
2022-07-09,7,2.5,15,4
2022-07-11,27,9,11,8
2022-07-13,44,4.6,11,6
2022-07-15,11,9.2,13,7
2022-07-17,0,5.6,16,3
2022-07-19,19,8.8,15,5
2022-07-21,4,2.5,11,4
2022-07-23,6,4.3,12,7
2022-07-25,5,4.2,13,5
2022-07-27,16,6.1,14,7
2022-07-29,33,3.2,16,3
2022-07-31,0,3.1,16,5
2022-08-02,14,5.7,15,4
2022-08-04,0,3.1,13,8
2022-08-06,0,3.1,11,6
2022-08-08,11,3.1,12,5
2022-08-10,0,2.6,14,7
2022-08-12,27,8.6,15,3
2022-08-14,12,4.1,12,6
2022-08-16,0,3.1,12,7
2022-08-18,4,3.1,13,8
2022-08-20,6,7.1,11,7
2022-08-22,0,3.1,15,8
2022-08-24,4,3.1,14,8
2022-08-26,0,3.1,14,3
2022-08-28,0,3.2,17,4
2022-08-30,6,7.6,12,5
2022-09-01,4,5.1,12,6
2022-09-03,3,2.6,16,5
2022-09-05,5,3.5,14,4
2022-09-07,9,4.5,14,4
2022-09-09,0,2.6,16,3
2022-09-11,5,3.1,15,6
2022-09-13,0,3.1,15,4
2022-09-15,0,6.9,11,5
2022-09-17,7,5.1,15,3
2022-09-19,29,5.6,11,4
2022-09-21,4,2.5,16,5
2022-09-23,11,9.1,16,6
2022-09-25,0,8.1,10,4
2022-09-27,4,3.1,16,6
2022-09-29,0,2.5,14,4
2022-10-01,0,2.5,14,7
2022-10-03,0,2.3,14,8
2022-10-05,0,5.1,14,4
2022-10-07,19,5.6,11,6
2022-10-09,0,2.5,13,5
2022-10-11,0,3,13,8
2022-10-13,0,2.5,13,7
2022-10-15,0,2.5,14,4
2022-10-17,23,2.2,10,4
2022-10-19,0,3.6,15,5
2022-10-21,0,3.1,14,4
2022-10-23,0,3.1,13,7
2022-10-25,0,2.5,16,3
2022-10-27,0,2.6,15,5
2022-10-29,0,3.1,12,8
2022-10-31,0,3.1,11,6
2022-11-02,0,2.6,16,6
2022-11-04,0,3.1,15,4
2022-11-06,0,3.1,11,5
2022-11-08,0,3.1,15,6
2022-11-10,0,2.6,16,3
2022-11-12,0,3.1,12,5
2022-11-14,0,3.1,11,2
2022-11-16,0,3.1,15,5
2022-11-18,0,3.1,14,8
2022-11-20,2,2.6,17,3
2022-11-22,0,2.6,13,6
2022-11-24,0,3.1,14,3
2022-11-26,3,3.1,14,7
2022-11-28,0,2.1,14,4
2022-11-30,3,1.2,13,5
2022-12-02,0,1.1,15,4
2022-12-04,0,2.5,14,5
2022-12-06,0,3.1,12,8
2022-12-08,0,3.1,16,3
2022-12-10,0,3.1,15,4
2022-12-12,0,3,14,8
2022-12-14,0,3.6,15,6
2022-12-16,0,2.5,13,8
2022-12-18,0,2.5,16,5
2022-12-20,0,3.1,10,4
2022-12-22,0,3.1,15,7
2022-12-24,0,2.1,13,8
2022-12-26,0,3.1,10,3
2022-12-28,0,3.1,16,6
2022-12-30,0,2.6,14,4
2023-01-01,0,3.2,13,4
2023-01-03,0,3.1,10,5
2023-01-05,0,3.5,15,6
2023-01-07,0,2.6,14,4
2023-01-09,0,2.5,11,4
2023-01-11,0,3.6,15,6
2023-01-13,0,2.5,11,5
2023-01-15,0,3.2,11,4
2023-01-17,0,3.2,11,6
2023-01-19,0,3.2,14,8
2023-01-21,0,2.5,14,5
2023-01-23,0,3.2,10,4
2023-01-25,0,3.1,17,4
2023-01-27,0,3.1,11,3
2023-01-29,0,3.1,12,8
2023-01-31,0,3.1,12,6
2023-02-02,0,3.1,12,5
2023-02-04,0,2.5,12,6
2023-02-06,0,2.9,12,7
2023-02-08,0,3.2,10,4
2023-02-10,0,2.6,13,4
2023-02-12,0,3.1,13,7
2023-02-14,0,2.5,11,5
2023-02-16,0,3.1,15,4
2023-02-18,0,3.1,13,3
2023-02-20,0,3,10,7
2023-02-22,0,2.5,13,4
2023-02-24,0,3.2,16,7
2023-02-26,0,2.6,12,6
2023-02-28,0,3.1,12,7
2023-03-02,0,3.1,14,8
2023-03-04,0,3.1,13,7
2023-03-06,0,3.1,14,8
2023-03-08,0,3.2,12,7
2023-03-10,0,3.1,10,6
2023-03-12,0,2.6,14,4
2023-03-14,0,3.1,12,7
2023-03-16,3,3.1,10,6
2023-03-18,0,3.1,17,5
2023-03-20,0,3.1,16,5
2023-03-22,0,2.6,15,3
2023-03-24,0,2.6,12,8
2023-03-26,0,3.1,13,7
2023-03-28,0,2.6,16,4
2023-03-30,0,3.1,14,3
2023-04-01,0,3.1,13,5
2023-04-03,0,2.6,17,6
2023-04-05,0,2.5,16,5
2023-04-07,0,3.5,15,4
2023-04-09,6,2.6,10,5
2023-04-11,6,3.1,13,7
2023-04-13,0,3.1,12,8
2023-04-15,0,3.1,15,5
2023-04-17,27,2.6,13,3
2023-04-19,5,2.6,11,7
2023-04-21,0,2.6,13,6
2023-04-23,0,3.1,11,5
2023-04-25,0,3.1,19,8
2023-04-27,0,3.28,16,4
2023-04-29,0,3.1,12,5
2023-05-01,0,3.1,11,6
2023-05-03,0,3.1,16,5
2023-05-05,0,2.5,16,4
2023-05-07,0,2.6,14,5
2023-05-09,0,3.32,13,3
2023-05-11,10,2.6,11,6
2023-05-13,7,2.6,14,7
2023-05-15,0,2.6,16,3
2023-05-17,0,3.1,15,6
2023-05-19,0,2.6,14,4
2023-05-21,4,2.6,12,8
2023-05-23,11,6.2,12,6
2023-05-25,0,9,16,5
2023-05-27,0,3,13,3
2023-05-29,6,3,14,8
2023-05-31,0,2.6,12,4
2023-06-02,0,3.11,16,5
2023-06-04,0,3.1,11,6
2023-06-06,0,6.1,16,4
2023-06-08,0,3.4,15,5
2023-06-10,0,3,17,4
2023-06-12,0,3.1,12,6
2023-06-14,0,3.1,12,7
2023-06-16,0,2.6,17,6
2023-06-18,0,2.6,13,7
2023-06-20,0,3,14,7
2023-06-22,0,3,15,8
2023-06-24,0,3.1,15,4
2023-06-26,0,3.1,16,3
2023-06-28,0,3.1,16,4
2023-06-30,10,3,13,3
2023-07-02,0,4.21,11,7
2023-07-04,3,6.1,12,8
2023-07-06,0,6.5,14,3
2023-07-08,36,8,12,5
2023-07-10,18,2.6,14,7
2023-07-12,11,3.1,15,4
2023-07-14,0,1.9,15,5
2023-07-16,0,3.1,17,6
2023-07-18,45,6.1,13,7
2023-07-20,26,2.9,11,5
2023-07-22,34,3.1,16,6
2023-07-24,12,6.1,11,3
2023-07-26,0,2.6,16,6
2023-07-28,0,5,12,5
2023-07-30,12,3.1,11,6
2023-08-01,18,2.6,11,7
2023-08-03,10,4.6,10,6
2023-08-05,34,2.6,15,5
2023-08-07,0,6.1,15,8
2023-08-09,0,2.6,11,4
2023-08-11,6,2.6,12,6
2023-08-13,7,3.1,13,7
2023-08-15,25,3.1,14,7
2023-08-17,4,3.2,16,3
2023-08-19,9,3.1,14,4
2023-08-21,5,2.6,13,8
2023-08-23,6,3.1,13,3
2023-08-25,0,3.1,13,7
2023-08-27,8,3.1,14,3
2023-08-29,0,2.6,16,4
2023-08-31,42,2.6,13,6
2023-09-02,7,3.6,15,3
2023-09-04,0,3.21,16,4
2023-09-06,15,8.1,14,3
2023-09-08,0,4.1,16,5
2023-09-10,0,3.02,11,6
2023-09-12,0,3.1,15,4
2023-09-14,16,2.6,11,8
2023-09-16,19,9,12,5
2023-09-18,4,5.1,14,7
2023-09-20,0,2.6,17,4
2023-09-22,0,2.6,11,6
2023-09-24,0,2.52,14,3
2023-09-26,0,2.61,12,8
2023-09-28,0,2.6,13,6
2023-09-30,0,2.6,11,7
2023-10-02,4,3.1,13,7
2023-10-04,0,3.1,15,3
2023-10-06,0,3.6,15,5
2023-10-08,0,3.1,10,5
2023-10-10,9,3.1,11,6
2023-10-12,0,3.1,13,7
2023-10-14,0,3.08,15,3
2023-10-16,0,2.6,12,8
2023-10-18,0,2.6,12,5
2023-10-20,0,3.05,12,6
2023-10-22,0,3.1,12,7
2023-10-24,6,4.1,11,8
2023-10-26,8,4.1,13,6
2023-10-28,0,3.1,14,8
2023-10-30,0,3.1,15,4
2023-11-01,0,3.1,14,4
2023-11-03,0,2.6,11,4
2023-11-05,0,7.05,15,6
2023-11-07,0,3.1,13,3
2023-11-09,0,3.1,12,7
2023-11-11,0,3.81,12,8
2023-11-13,4,4.1,11,3
2023-11-15,0,5.1,10,6
2023-11-17,0,5.1,11,5
2023-11-19,0,5.6,12,7
2023-11-21,38,7.1,12,5
2023-11-23,0,3.1,14,3
2023-11-25,0,3,13,8
2023-11-27,0,2.9,12,6
2023-11-29,4,2.9,13,3
2023-12-01,0,3.1,14,3
2023-12-03,3,3,14,4
2023-12-05,0,2.5,12,7
2023-12-07,0,3.1,10,4
2023-12-09,0,3,10,6
2023-12-11,0,3,14,4
2023-12-13,0,3.1,16,5
2023-12-15,0,3.1,14,6
2023-12-17,0,3.1,14,3
2023-12-19,0,3,15,4
2023-12-21,0,3,15,5
2023-12-23,0,3,14,3
2023-12-25,0,3,10,4
2023-12-27,0,2.5,10,5
2023-12-29,0,2.63,14,4
2023-12-31,0,3,13,7
2024-01-02,0,2.6,11,3
2024-01-04,0,2.6,13,2
2024-01-06,0,3.1,14,4
2024-01-08,0,3.1,14,3
2024-01-10,0,3.7,15,8
2024-01-12,0,2.1,13,7
2024-01-14,0,1.7,13,8
2024-01-16,0,2.6,11,7
2024-01-18,0,2.6,15,6
2024-01-20,0,2.6,13,3
2024-01-22,0,2.6,11,8
2024-01-24,NULO,2.9,11,5
2024-01-26,0,2.6,13,7
2024-01-28,0,3.1,12,7
2024-01-30,0,6,11,6
2024-02-01,0,2.3,11,5
2024-02-03,0,3.2,12,7
2024-02-05,0,3.2,14,3
2024-02-07,0,2.6,13,8
2024-02-09,0,3.1,12,7
2024-02-11,0,3.1,16,5
2024-02-13,0,3.1,15,4
2024-02-15,0,3.1,14,5
2024-02-17,0,2.6,14,4
2024-02-19,0,3.1,14,3
2024-02-21,0,2.6,16,4
2024-02-23,0,2.6,16,3
2024-02-25,0,2.6,13,6
2024-02-27,0,3.1,15,3
2024-02-29,0,3.1,16,4
2024-03-02,0,3.1,17,5
2024-03-04,0,3.1,15,4
2024-03-06,0,3.1,16,6
2024-03-08,0,3.1,15,3
2024-03-10,0,3.1,12,6
2024-03-12,0,2.5,14,7
2024-03-14,0,2.6,14,3
2024-03-16,0,3.1,14,8
2024-03-18,0,3.2,16,4
2024-03-20,0,3.1,14,5
2024-03-22,0,2.6,15,8
2024-03-24,0,3,14,3
2024-03-26,0,2.7,15,5
2024-03-28,0,3.1,15,4
2024-03-30,0,3.1,12,6
2024-04-01,0,2.1,11,5
2024-04-03,0,3.1,16,4
2024-04-05,0,3.1,11,5
2024-04-07,0,3.1,14,7
2024-04-09,0,3.1,13,8
2024-04-11,0,3.1,16,3
2024-04-13,0,3.1,16,4
2024-04-15,0,3,14,3
2024-04-17,0,3.1,15,8
2024-04-19,18,3.1,14,7
2024-04-21,0,5.1,13,3
2024-04-23,6,3.2,12,5
2024-04-25,0,3.1,11,6
2024-04-27,0,3.2,13,7
2024-04-29,0,3.1,13,8
2024-05-01,0,3.1,12,6
2024-05-03,0,3.1,16,5
2024-05-05,4,3.1,11,5
2024-05-07,0,3.1,14,8
2024-05-09,0,3.2,15,4
2024-05-11,0,3.1,12,6
2024-05-13,3,3.1,16,5
2024-05-15,0,3.1,16,4
2024-05-17,0,3.2,14,5
2024-05-19,0,3.1,17,3
2024-05-21,0,3.1,17,4
2024-05-23,0,3.1,16,3
2024-05-25,0,5.2,12,5
2024-05-27,0,3.2,16,3
2024-05-29,0,3.1,18,4
2024-05-31,0,3.1,12,5
2024-06-02,0,3.2,13,7
2024-06-04,3,3.2,11,6
2024-06-06,0,2.6,17,5
2024-06-08,0,3.1,12,6
2024-06-10,0,3.1,11,5
2024-06-12,0,2.6,12,6
2024-06-14,0,2.6,16,5
2024-06-16,0,3.1,17,6
2024-06-18,0,3.1,14,7
2024-06-20,0,2.6,14,3
2024-06-22,11,8.1,13,4
2024-06-24,10,7.1,14,3
2024-06-26,24,7.1,13,3
2024-06-28,12,6.1,12,6
2024-06-30,60,8.1,12,3
2024-07-02,5,4.6,11,8
2024-07-04,9,3.6,16,5
2024-07-06,0,3.1,15,4
